민진, 169, 64, 22.408178985329645, 정상 체중
영영, 152, 40, 17.31301939058172, 저체중
진욱, 170, 70, 24.22145328719723, 정상 체중
경욱, 182, 97, 29.283902910276538, 과체중
상은, 161, 43, 16.58886617028664, 저체중
민영, 170, 76, 26.297577854671278, 과체중
예건, 162, 41, 15.62261850327694, 저체중
진수, 159, 70, 27.688778133776356, 과체중
건예, 195, 82, 21.564760026298487, 정상 체중
영경, 158, 51, 20.429418362441915, 정상 체중
영진, 175, 43, 14.040816326530612, 저체중
영섭, 176, 98, 31.637396694214875, 과체중
철철, 159, 60, 23.733238400379733, 정상 체중
욱채, 175, 50, 16.3265306122449, 저체중
수채, 181, 87, 26.555965935105768, 과체중
건은, 159, 79, 31.248763893833317, 과체중
욱예, 182, 76, 22.944088878154812, 정상 체중
채영, 159, 70, 27.688778133776356, 과체중
영건, 167, 46, 16.493958191401628, 저체중
상섭, 158, 97, 38.855952571703256, 과체중
섭건, 179, 57, 17.789706937985706, 저체중
민상, 157, 90, 36.51263742951032, 과체중
예섭, 172, 81, 27.379664683612766, 과체중
영수, 196, 64, 16.65972511453561, 저체중
영진, 188, 76, 21.502942507922135, 정상 체중
경진, 159, 58, 22.942130453700408, 정상 체중
욱채, 158, 97, 38.855952571703256, 과체중
은예, 175, 42, 13.714285714285714, 저체중
수경, 174, 79, 26.093275201479717, 과체중
진민, 166, 70, 25.402816083611555, 과체중
상철, 172, 99, 33.46403461330449, 과체중
상진, 168, 96, 34.01360544217687, 과체중
욱진, 180, 55, 16.97530864197531, 저체중
섭섭, 162, 51, 19.43301326017375, 정상 체중
수섭, 177, 41, 13.086916275655144, 저체중
철예, 165, 78, 28.65013774104683, 과체중
수은, 169, 75, 26.259584748433177, 과체중
욱수, 156, 85, 34.92767915844839, 과체중
철경, 153, 86, 36.73800674954077, 과체중
상영, 194, 79, 20.99054097141035, 정상 체중
수건, 163, 85, 31.992171327486922, 과체중
진상, 167, 95, 34.06360930832945, 과체중
은철, 173, 94, 31.40766480670921, 과체중
민건, 176, 82, 26.47210743801653, 과체중
